company_code,document_number,description,payment_type,amount,currency_code,transaction_type,seller_number,customer_number,main_account,desc_length,desc_has_numbers,desc_uppercase_ratio,has_tckn,has_vkn,has_tckn_or_vkn,has_hvl,has_int,has_cepsube,has_komisyon,has_ucret,has_masraf,has_odeme,has_tahsilat,has_havale,has_virman,has_fatura,has_cek,has_eft,has_company_name,number_count,has_dash,has_dot,amount_log,amount_range,trans_pay_combo,company_group,doc_number_first_digit,doc_number_length,is_check_transaction,is_eft_transaction,is_transfer,is_high_amount,desc_suggests_seller,desc_suggests_customer,expects_seller,expects_customer,expects_main_account,payment_type_encoded,transaction_type_encoded,trans_pay_combo_encoded,amount_range_encoded,company_group_encoded,doc_number_first_digit_encoded,company_code_encoded
1504,4200004767,EF0039921GESMEDYAHIZMETLERIANONIMSIRKETI-KENTVIZYO,H,158560.0,TRY,NEFT,,1200116212.0,,50,1,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,11.973894656304775,xlarge,NEFT_H,group_A,4,10,0,1,0,0,0,0,0,1,0,0,2,2,5,0,0,1504
1504,4200004768,EF4429508SENGLOBALMARKAILETISIMVEMEDY-BAŞAKŞEHİR,H,230000.0,TRY,NEFT,,1200100044.0,,48,1,0.8333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,12.345838935721968,xlarge,NEFT_H,group_A,4,10,0,1,0,0,0,0,0,1,0,0,2,2,5,0,0,1504
1504,4200004769,EF0110662MEDYAPLANLAMA-FTKARSILIGITCKN:V,H,372000.0,TRY,NEFT,,1200119978.0,,40,1,0.775,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,12.826651821423713,xlarge,NEFT_H,group_A,4,10,0,1,0,0,0,0,0,1,0,0,2,2,5,0,0,1504
1504,4200004771,EF0063230MEDYAYAYINCILIKHIZMETLERITIC-TCKN:VKN,H,2000000.0,TRY,NEFT,,1200101448.0,,46,1,0.8043478260869565,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,14.508658238524095,mega,NEFT_H,group_A,4,10,0,1,0,1,0,0,0,1,0,0,2,2,2,0,0,1504
1504,4200004775,EF0405923ALTINTURISTIKTESISLERI-ALTINYUN,H,94707.65,TRY,NEFT,,1200108745.0,,40,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,11.458560616079913,large,NEFT_H,group_A,4,10,0,1,0,0,0,0,0,1,0,0,2,2,0,0,0,1504
1504,4200004777,EF4466218ZERMERKEZIHIZMETLERVETICARETAN-YURTICIYER,H,10799557.2,TRY,NEFT,,1200100141.0,,50,1,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,16.19501578385031,mega,NEFT_H,group_A,4,10,0,1,0,1,0,0,0,1,0,0,2,2,2,0,0,1504
1504,4200004754,FAST2014179092-EYMEN-FATURALARAISTINADENGOND,H,9000.0,TRY,NMSC,,1200117717.0,,44,1,0.7272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,9.105090961257085,medium,NMSC_H,group_A,4,10,0,0,0,0,0,0,0,1,0,0,3,4,1,0,0,1504
1504,4200004763,FAST2014799235-OVANCI-FTBEDELINEISTINADENTCK,H,70000.0,TRY,NMSC,,1200115154.0,,44,1,0.7272727272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,11.156264806643742,large,NMSC_H,group_A,4,10,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,1504
1504,4200004770,FAST24164827183-GENESILMEDYAA.S.-BAŞAKŞEHİRMEDYA,H,100000.0,TRY,NMSC,,1200100191.0,,48,1,0.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,11.51293546492023,large,NMSC_H,group_A,4,10,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,1504
1504,4200004772,FAST9999952207-BAKIŞYAPIINSAATENERJIMADENCILIKS-LHD:,H,50000.0,TRY,NMSC,,1200111039.0,,52,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,10.819798284210286,large,NMSC_H,group_A,4,10,0,0,0,0,0,0,0,1,0,0,3,4,0,0,0,1504
